training loss,precision,recall,f1 score,elapsed time,accuracy
0.486,0.475,0.8859999999999999,0.609,13.038,0.898
0.483,0.475,0.887,0.609,12.991,0.898
0.479,0.48100000000000004,0.89,0.616,13.075999999999999,0.9009999999999999
0.473,0.485,0.889,0.619,13.085,0.902
0.47100000000000003,0.48100000000000004,0.889,0.615,12.989,0.9009999999999999
0.48700000000000004,0.47600000000000003,0.885,0.61,13.003,0.899
0.486,0.478,0.887,0.612,12.978,0.9
0.496,0.466,0.883,0.601,13.133,0.8959999999999999
0.47100000000000003,0.478,0.89,0.614,12.95,0.9009999999999999
0.47100000000000003,0.48100000000000004,0.887,0.615,12.95,0.9009999999999999
0.47100000000000003,0.48100000000000004,0.8909999999999999,0.616,13.023,0.902
0.455,0.493,0.893,0.627,13.030999999999999,0.9059999999999999
0.484,0.475,0.885,0.61,12.997,0.9
0.485,0.48,0.885,0.613,13.059000000000001,0.9
0.48,0.473,0.8859999999999999,0.608,12.968,0.899
0.469,0.483,0.888,0.618,13.097000000000001,0.902
0.47100000000000003,0.48700000000000004,0.888,0.619,13.085999999999999,0.902
0.465,0.48700000000000004,0.887,0.62,12.876,0.904
0.479,0.48100000000000004,0.885,0.615,12.965,0.902
0.48100000000000004,0.48100000000000004,0.8859999999999999,0.615,13.027000000000001,0.902
0.455,0.49200000000000005,0.894,0.626,12.867,0.905
0.485,0.483,0.8859999999999999,0.616,12.957,0.902
0.484,0.474,0.885,0.609,13.928,0.899
0.464,0.498,0.89,0.629,13.089,0.906
0.477,0.486,0.888,0.619,12.912,0.904
0.477,0.481,0.885,0.615,12.937,0.903
0.48,0.489,0.888,0.622,12.747,0.904
0.466,0.489,0.887,0.622,12.636,0.905
0.471,0.486,0.888,0.619,12.664,0.903
0.462,0.49,0.891,0.623,12.59,0.904
0.478,0.484,0.884,0.617,12.552,0.903
0.458,0.498,0.894,0.631,12.407,0.907
0.468,0.494,0.887,0.625,12.406,0.905
0.456,0.497,0.892,0.629,12.162,0.907
0.48,0.484,0.884,0.617,12.298,0.904
0.475,0.483,0.888,0.617,12.256,0.902
0.471,0.486,0.886,0.619,12.272,0.903
0.471,0.483,0.89,0.618,12.209,0.903
0.488,0.474,0.881,0.608,12.283,0.899
0.46,0.49,0.893,0.624,12.125,0.905
0.453,0.493,0.892,0.627,12.263,0.906
0.461,0.498,0.889,0.629,12.365,0.906
0.456,0.489,0.89,0.623,12.118,0.905
0.455,0.504,0.891,0.634,12.167,0.908
0.469,0.488,0.889,0.621,12.319,0.903
